nr	        isbn	            skaitytojas	   paimta	        grazinti
32101   	9998-01-101-9   	   	   	   
32102   	9998-01-101-9   	   	   	   
32103   	9998-01-101-9   	   	   	   
32104   	9998-01-101-9   	1000   	       2023-10-02   	2023-10-15   
32105   	9998-01-101-9   	1010   	       2023-09-04   	2023-10-04   
32106   	9998-01-101-9   	1021   	       2023-09-14   	2023-10-04   
32107   	9998-01-101-9   	   	   	   
32108   	9998-01-101-9   	1001   	       2023-10-02   	2023-10-14   
32109   	9998-01-101-9   	1032   	       2023-09-20   	2023-10-05   
32200   	9998-01-102-7   	   	   	   
32201   	9998-01-102-7   	1021   	       2023-10-02   	2023-11-04   
32301   	9999-02-202-2   	1000   	       2023-10-02   	2023-10-15   
32302   	9999-02-202-2   	1021   	       2023-09-14   	2023-10-04   
32303   	9999-02-202-2   	   	   	   
32330   	9999-02-203-0   	   	   	   
32331   	9999-02-203-0   	   	   	   
32332   	9999-02-203-0   	1010   	       2023-09-14   	2023-10-05   
32333   	9999-02-203-0   	1015   	       2023-10-14   	2023-11-05   
32401   	9998-01-103-5   	   	   	   
32402   	9998-01-103-5   	1032   	       2023-09-20   	2023-10-05   
32403   	9998-01-103-5   	   	   	   
32404   	9998-01-103-5   	   	   	   
32405   	9998-01-103-5   	   	   	   
32406   	9998-01-103-5   	1010   	       2023-09-14   	2023-10-04   
32501   	9997-03-303-5   	1010   	       2023-10-14   	2023-11-04   
32502   	9997-03-303-5   	1032   	       2023-09-20   	2023-10-04   
32503   	9997-03-303-5   	1015   	       2023-09-20   	2023-10-05   
32504   	9997-03-303-5   	1001   	       2023-10-06   	2023-11-05   
32601   	9998-01-104-3   	   	   	   
32602   	9998-01-104-3   	   	   	   
32603   	9998-01-104-3   	   	   	   
32604   	9998-01-104-3   	   	   	   
32605   	9998-01-104-3   	   
